Sample1,Sample2,Distance
./GCF_000006945.ffn,./GCF_000271905.ffn,0.8932893289328933
./GCF_000006945.ffn,./GCF_000335875.ffn,0.9068197164078324
./GCF_000006945.ffn,./GCF_000462995.ffn,0.9301955434288312
./GCF_000006945.ffn,./GCF_000487035.ffn,0.9584872853727452
./GCF_000006945.ffn,./GCF_000487215.ffn,0.958041958041958
./GCF_000006945.ffn,./GCF_000623175.ffn,0.9058631160943704
./GCF_000006945.ffn,./GCF_000623635.ffn,0.906375918464091
./GCF_000006945.ffn,./GCF_000624355.ffn,0.9063160366283164
./GCF_000006945.ffn,./GCF_000624555.ffn,0.9065288868013152
./GCF_000006945.ffn,./GCF_000624655.ffn,0.9058602024005648
./GCF_000006945.ffn,./GCF_000625015.ffn,0.9057678613814384
./GCF_000006945.ffn,./GCF_000625535.ffn,0.905459702198062
./GCF_000006945.ffn,./GCF_000625735.ffn,0.9056960529425668
./GCF_000006945.ffn,./GCF_000626035.ffn,0.9062647197362224
./GCF_000006945.ffn,./GCF_000626075.ffn,0.9069931716505768
./GCF_000006945.ffn,./GCF_000626375.ffn,0.9076036866359448
./GCF_000006945.ffn,./GCF_000743055.ffn,0.1346454931782598
./GCF_000006945.ffn,./GCF_000831045.ffn,0.9062281315605318
./GCF_000006945.ffn,./GCF_001623585.ffn,0.9110911540188594
./GCF_000006945.ffn,./GCF_001623625.ffn,0.9096686336813437
./GCF_000006945.ffn,./GCF_001623725.ffn,0.1423603564442512
./GCF_000006945.ffn,./GCF_001652385.ffn,0.3899521531100478
./GCF_000006945.ffn,./GCF_001831715.ffn,0.9148011301890894
./GCF_000006945.ffn,./GCF_001831985.ffn,0.9629952111449716
./GCF_000006945.ffn,./GCF_002507745.ffn,0.8869990680335508
./GCF_000006945.ffn,./GCF_002761335.ffn,0.9593380614657212
./GCF_000006945.ffn,./GCF_002761455.ffn,0.9578146611341632
./GCF_000006945.ffn,./GCF_002761475.ffn,0.9621350364963503
./GCF_000006945.ffn,./GCF_002900325.ffn,0.893894351703636
./GCF_000006945.ffn,./GCF_003067925.ffn,0.9626168224299064
./GCF_000006945.ffn,./GCF_003067985.ffn,0.9558423913043478
./GCF_000006945.ffn,./GCF_003325335.ffn,0.9306666666666666
./GCF_000006945.ffn,./GCF_003581245.ffn,0.9012828875842576
./GCF_000006945.ffn,./GCF_003717055.ffn,0.9590988626421696
./GCF_000006945.ffn,./GCF_003718095.ffn,0.9589519650655022
./GCF_000006945.ffn,./GCF_003719215.ffn,0.9592462751971954
./GCF_000006945.ffn,./GCF_003986655.ffn,0.1625733536187785
./GCF_000006945.ffn,./GCF_004324015.ffn,0.1543142795044555
./GCF_000006945.ffn,./GCF_004324275.ffn,0.1512714627254944
./GCF_000006945.ffn,./GCF_004919405.ffn,0.1234514236035644
./GCF_000006945.ffn,./GCF_005221485.ffn,0.9350080663747408
./GCF_000006945.ffn,./GCF_006741505.ffn,0.950228211258422
./GCF_000006945.ffn,./GCF_006969245.ffn,0.9482721147576614
./GCF_000006945.ffn,./GCF_009664575.ffn,0.1534449032818952
./GCF_000006945.ffn,./GCF_009729935.ffn,0.958423455900024
./GCF_000006945.ffn,./GCF_009884375.ffn,0.1664855466202999
./GCF_000006945.ffn,./GCF_015697785.ffn,0.1712671158443816
./GCF_000006945.ffn,./GCF_016025415.ffn,0.155618343838296
./GCF_000006945.ffn,./GCF_016452045.ffn,0.9180612910236904
./GCF_000006945.ffn,./GCF_016454305.ffn,0.994832621882723
./GCF_000006945.ffn,./GCF_016917395.ffn,0.9322709163346612
./GCF_000006945.ffn,./GCF_017372255.ffn,0.9102369050206476
./GCF_000006945.ffn,./GCF_019645915.ffn,0.9585514834205934
./GCF_000006945.ffn,./GCF_019670345.ffn,0.1543142795044555
./GCF_000006945.ffn,./GCF_019670385.ffn,0.155618343838296
